SEGMENTO_BP	PRODUCTO_PPAL_NN	ES_AUTONOMO
S4 - Planificador	Plan Creciente SIALP	NO
S0 - Sin datos	— Actualizar datos —	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S1 - Joven	Contigo Familia	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S0 - Sin datos	— Actualizar datos —	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S2 - Constructor	Contigo Familia + Hipoteca	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S1 - Joven	Contigo Familia	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S0 - Sin datos	— Actualizar datos —	NO
S3 - Protector	Plan Salud+Vida	NO
S2 - Constructor	Contigo Familia + Hipoteca	NO
S3A - Autónomo	Contigo Autónomo + PPSA	SÍ
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S0 - Sin datos	— Actualizar datos —	NO
S4 - Planificador	Plan Creciente SIALP	NO
S0 - Sin datos	— Actualizar datos —	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S0 - Sin datos	— Actualizar datos —	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3A - Autónomo	Contigo Autónomo + PPSA	SÍ
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S2 - Constructor	Contigo Familia + Hipoteca	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S0 - Sin datos	— Actualizar datos —	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S0 - Sin datos	— Actualizar datos —	NO
S3A - Autónomo	Contigo Autónomo + PPSA	SÍ
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S0 - Sin datos	— Actualizar datos —	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S3A - Autónomo	Contigo Autónomo + PPSA	SÍ
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S2 - Constructor	Contigo Familia + Hipoteca	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S0 - Sin datos	— Actualizar datos —	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S2 - Constructor	Contigo Familia + Hipoteca	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S0 - Sin datos	— Actualizar datos —	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S2 - Constructor	Contigo Familia + Hipoteca	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S0 - Sin datos	— Actualizar datos —	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S0 - Sin datos	— Actualizar datos —	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S0 - Sin datos	— Actualizar datos —	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S0 - Sin datos	— Actualizar datos —	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3A - Autónomo	Contigo Autónomo + PPSA	SÍ
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S2 - Constructor	Contigo Familia + Hipoteca	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S0 - Sin datos	— Actualizar datos —	NO
S5 - Senior	Contigo Senior + AGE	NO
S0 - Sin datos	— Actualizar datos —	NO
S5 - Senior	Contigo Senior + AGE	NO
S0 - Sin datos	— Actualizar datos —	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S0 - Sin datos	— Actualizar datos —	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S0 - Sin datos	— Actualizar datos —	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S2 - Constructor	Contigo Familia + Hipoteca	NO
S5 - Senior	Contigo Senior + AGE	NO
S3A - Autónomo	Contigo Autónomo + PPSA	SÍ
S4 - Planificador	Plan Creciente SIALP	NO
S2 - Constructor	Contigo Familia + Hipoteca	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S2 - Constructor	Contigo Familia + Hipoteca	NO
S0 - Sin datos	— Actualizar datos —	NO
S0 - Sin datos	— Actualizar datos —	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
S0 - Sin datos	— Actualizar datos —	NO
S0 - Sin datos	— Actualizar datos —	NO
S0 - Sin datos	— Actualizar datos —	NO
S0 - Sin datos	— Actualizar datos —	NO
S0 - Sin datos	— Actualizar datos —	NO
S0 - Sin datos	— Actualizar datos —	NO
S5 - Senior	Contigo Senior + AGE	NO
S1 - Joven	Contigo Familia	NO
S3 - Protector	Plan Salud+Vida	NO
S0 - Sin datos	— Actualizar datos —	NO
S0 - Sin datos	— Actualizar datos —	NO
S3 - Protector	Plan Salud+Vida	NO
S0 - Sin datos	— Actualizar datos —	NO
S3 - Protector	Plan Salud+Vida	NO
S0 - Sin datos	— Actualizar datos —	NO
S0 - Sin datos	— Actualizar datos —	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S5 - Senior	Contigo Senior + AGE	NO
S0 - Sin datos	— Actualizar datos —	NO
S0 - Sin datos	— Actualizar datos —	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S0 - Sin datos	— Actualizar datos —	NO
S3 - Protector	Plan Salud+Vida	NO
S0 - Sin datos	— Actualizar datos —	NO
S3 - Protector	Plan Salud+Vida	NO
S0 - Sin datos	— Actualizar datos —	NO
S2 - Constructor	Contigo Familia + Hipoteca	NO
S3A - Autónomo	Contigo Autónomo + PPSA	SÍ
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S0 - Sin datos	— Actualizar datos —	NO
S0 - Sin datos	— Actualizar datos —	NO
S0 - Sin datos	— Actualizar datos —	NO
S5 - Senior	Contigo Senior + AGE	NO
S0 - Sin datos	— Actualizar datos —	NO
S0 - Sin datos	— Actualizar datos —	NO
S3 - Protector	Plan Salud+Vida	NO
S0 - Sin datos	— Actualizar datos —	NO
S3 - Protector	Plan Salud+Vida	NO
S3A - Autónomo	Contigo Autónomo + PPSA	SÍ
S0 - Sin datos	— Actualizar datos —	NO
S5 - Senior	Contigo Senior + AGE	NO
S0 - Sin datos	— Actualizar datos —	NO
S3 - Protector	Plan Salud+Vida	NO
S0 - Sin datos	— Actualizar datos —	NO
S0 - Sin datos	— Actualizar datos —	NO
S0 - Sin datos	— Actualizar datos —	NO
S4 - Planificador	Plan Creciente SIALP	NO
S0 - Sin datos	— Actualizar datos —	NO
S3 - Protector	Plan Salud+Vida	NO
S0 - Sin datos	— Actualizar datos —	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S0 - Sin datos	— Actualizar datos —	NO
S4 - Planificador	Plan Creciente SIALP	NO
S0 - Sin datos	— Actualizar datos —	NO
S5 - Senior	Contigo Senior + AGE	NO
S0 - Sin datos	— Actualizar datos —	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S0 - Sin datos	— Actualizar datos —	NO
S0 - Sin datos	— Actualizar datos —	NO
S0 - Sin datos	— Actualizar datos —	NO
S0 - Sin datos	— Actualizar datos —	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S0 - Sin datos	— Actualizar datos —	NO
S4 - Planificador	Plan Creciente SIALP	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S2 - Constructor	Contigo Familia + Hipoteca	NO
S0 - Sin datos	— Actualizar datos —	NO
S0 - Sin datos	— Actualizar datos —	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S4 - Planificador	Plan Creciente SIALP	NO
S0 - Sin datos	— Actualizar datos —	NO
S3 - Protector	Plan Salud+Vida	NO
S0 - Sin datos	— Actualizar datos —	NO
S4 - Planificador	Plan Creciente SIALP	NO
S5 - Senior	Contigo Senior + AGE	NO
S5 - Senior	Contigo Senior + AGE	NO
S0 - Sin datos	— Actualizar datos —	NO
S0 - Sin datos	— Actualizar datos —	NO
S3 - Protector	Plan Salud+Vida	NO
S3 - Protector	Plan Salud+Vida	NO
S0 - Sin datos	— Actualizar datos —	NO
S3 - Protector	Plan Salud+Vida	NO
S0 - Sin datos	— Actualizar datos —	NO
S0 - Sin datos	— Actualizar datos —	NO
S5 - Senior	Contigo Senior + AGE	NO
S0 - Sin datos	— Actualizar datos —	NO
S5 - Senior	Contigo Senior + AGE	NO
S4 - Planificador	Plan Creciente SIALP	NO
